name,email,address,contact,jurisdiction__slug,other_names,description,tags,parent__name,classification,url,website_dump,request_note
Office of Economic Development,economic.development@mauicounty.gov,"2200 Main St., Suite 305
Wailuku, HI  96793","Phone:  (808) 270-7710
Fax:  (808) 270-7995",county-of-maui,,"The OED works in partnership with the community, business and government sectors to:  Strengthen and diversify the economy by supporting existing businesses; and Assisting in the attraction, development and expansion of new businesses and events that will in turn provide new jobs for our community.","research,development,business,tourism,agriculture,Molokai Kuhao Business Center,film,economic development,energy,OED,workforce,workforce development,culture,arts,Kula Agricultural Park,pesticide,Maui County Film Office,Kula Agricultural Park Committee,Workforce Development Board",,Office of the Mayor,http://co.maui.hi.us/141/Office-Of-Economic-Development,,
Agency On Elderly Affairs,elderlyaffairs@kauai.gov,"Piʻikoi Building
4444 Rice Street, Suite 330
Lihue, Kauai, Hawaii, 96766","Phone: (808) 241-4470
Fax: (808) 241-5113",county-of-kauai,,"The County of Kauai Agency on Elderly Affairs (AEA), with the Mayor as Chief Executive, is your local Area Agency on Aging. Its purpose is to plan, support, and advocate for programs to promote the well-being of Kauai's older adults and to address and respond to the priority needs of all seniors. ","aging,elder affairs",,,http://www.kauai.gov/Elderly,,
Office of Elections,elections@hawaii.gov,"802 Lehua Avenue
Pearl City, HI  96782","Phone:  (808) 453-8683
Fax:  (808) 453-6006",state-of-hawaii,,"Our mission is to provide secure, accessible, and convenient elections to all citizens statewide.","elections, Election Commission, registration, voter",,Department of Accounting & General Services,http://elections.hawaii.gov,,
Office of the County Clerk - Elections,elections@kauai.gov,"4386 Rice Street, Suite 101
Lihue, HI  96766","Phone:  (808) 241-4800
Fax:  (808) 241-6207",county-of-kauai,,"Providing open, accessible, fair, and secure election services for the citizens of the County of Kauaʻi is our primary objective.","clerk,elections,voter,registration,campaign",,,http://www.kauai.gov/Elections,,
Hawaii State Energy Office,energyoffice@dbedt.hawaii.gov,"P.O. Box 2359
Honolulu, Hawaii 96804","Phone:  (808) 587-3807
Fax:  (808) 586-2536",state-of-hawaii,,"The Hawaii State Energy Office (HSEO) will transform Hawaii’s economy by growing the clean energy sector. To this end, HSEO works to stimulate the deployment of clean energy infrastructure and serve as a catalyst for energy innovation and test bed investments.","energy, strategic industries, renewable, clean energy",,"Department of Business, Economic Development & Tourism",http://energy.hawaii.gov,,
Department of Environmental Management,environmental.mgmt@mauicounty.gov,"2200 Main St.,
Suite #305
Wailuku, HI 96793","Phone: (808) 270-8250
Fax: (808) 270-7955",county-of-maui,,"To protect the public's health, safety, property, and environment by developing and operating the County's infrastructure.","environmental,environmental services,wastewater,trash,opala,solid waste,recycling,bulky,greenwaste,landfill,Hana Landfill,Lanai Landfill,Molokai-Naiwa Landfill,environmental management,Solid Waste Resource and Advisory Committee,Wastewater Community Working Group,environment",,,http://co.maui.hi.us/114/Environmental-Management,,
Executive Office on Aging,eoa@doh.hawaii.gov,"250 S. Hotel Street, Suite 406
Honolulu, HI  96813","Phone:  (808) 586-0100
Fax:  (808) 586-0185",state-of-hawaii,,"The Executive Office on Aging is the designated lead agency in the coordination of a statewide system of aging and caregiver support services in the State of Hawaii, as authorized by federal and state laws.","EOA,aging,Policy Advisory Board for Elder Affairs,elder affairs",,Department of Health,http://health.hawaii.gov/eoa/,,
Hawaii State Ethics Commission,ethics@hawaiiethics.org,"1001 Bishop Street, Suite 970
Honolulu, HI  96813","Phone:  (808) 587-0460
Fax:  (808) 587-0470",state-of-hawaii,,,"ethics,lobbying,gifts,financial disclosure,investigation",,,http://ethics.hawaii.gov,,
Ethics Commission,ethics@honolulu.gov,"715 South King Street, Room 211
Honolulu, Hawaii 96813","Phone: (808) 768-7786 
Fax: (808) 527-5936",city-and-county-of-honolulu,,"The commission renders advice on ethics questions to city personnel, the public and the media; investigates complaints of violations of the ethics laws; and recommends discipline to appointing authorities for ethics laws violations; and imposes civil fines for violations by exempt or elected officials.","ethics,lobbying,gifts,financial disclosure,investigation",,Department of the Corporation Counsel,http://www.honolulu.gov/ethics/default.html,,
Office of Enterprise Technology Services,ets@hawaii.gov,"UIPA Request, Attn:  ETS
Kalanimoku Building, B-10
1151 Punchbowl St.
Honolulu, HI  96813",Phone:  (808) 586-1920 x 325,state-of-hawaii,,The Office of Enterprise Technology Services (ETS) provides governance for information technology modernization and transformation efforts for the State of Hawaii Executive Branch.,"information technology, IT, computer, ICSD, OIMT, technology, ETS",,Department of Accounting & General Services,http://ets.hawaii.gov,,
Hawaii Employer-Union Health Benefits Trust Fund,eutf@hawaii.gov,"201 Merchant Street, Suite 1700
Honolulu, HI  96813","Phone:  (808) 586-7390
Fax:  (808) 586-2161",state-of-hawaii,,"The Hawaii Employer-Union Health Benefits Trust Fund or more commonly known as the EUTF provides medical, chiropractic, prescription drug, dental, vision, and life insurance benefits to all eligible State of Hawaii, City and County of Honolulu, County of Hawaii, County of Maui and County of Kauai employees and retirees.","investment, EUTF",,Department of Budget & Finance,http://eutf.hawaii.gov,,
Department of Finance,finance@mauicounty.gov,"200 S High St.
Kalana O Maui Bldg, 2nd Fl
Wailuku, HI 96793","Phone: (808) 270-7844
Fax: (808) 270-7878",county-of-maui,,The Department of Finance is responsible for the overall financial administration of all County departments.,"accounting,finance,audit,bonds,capital improvements,CIP,investment,unclaimed property,treasury,procurement,purchasing,contractor,vendor,contract,real property,assessment,property assessment,motor vehicle,registration,licensing,driver,tax,taxation,Real Property Tax Review Board",,,http://www.co.maui.hi.us/507/Finance,,
Department of Fire & Public Safety,fire.dept@co.maui.hi.us,"200 Dairy Road
Wailuku, HI 96793","Phone: 808-270-7561
Fax: 808-270-7919",county-of-maui,,"The Department of Fire and Public Safety provides emergency and non-emergency services for the islands of Maui, Molokai, Lanai, and Kahoolawe and the surrounding waters. The Department has 14 fire stations throughout the County of Maui. There are 10 fire stations on the island of Maui, three fire stations on the island of Molokai, and one fire station on the island of Lanai. ","fire,emergency,hazardous ,safety,ambulance,paramedic,health,Fire and Public Safety Commission,Public Safety Commission",,,http://www.co.maui.hi.us/1460/Fire-and-Public-Safety,,
Hawaii Fire Department,fire@hawaiicounty.gov,"25 Aupuni Street, Suite 2501
Hilo, HI 96720","Phone: (808) 932-2900
Fax: (808) 932-2928",county-of-hawaii,,"The Hawaii Fire Department is primarily responsible for fire protection and suppression, pre-hospital emergency medical services, land and sea search and rescue, hazardous materials response, ocean safety, and fire prevention and public education for the County of Hawaii.","HFD,fire,emergency,hazardous ,safety,Fire Commission,ocean safety,ambulance,lifeguard,paramedic,beach,health,Fire Board of Appeals,Local Emergency Planning Committee",,,http://www.hawaiicounty.gov/fire/,,
Department of Defense - Federal,FOIA@ng.army.mil,"Office of Information and Privacy (NGB/JA-OIP)
Attn: ANG FOIA Requests
111 South George Mason Drive, AH2
Arlington, VA 22204-1373","Ph: (571) 256-7838 or
(703) 607-5901
Fax: 703-607-3684",state-of-hawaii,,"To maintain readiness to respond to the needs of the people in the event of disasters, either natural or human-caused; to administer policies and programs related to veterans and their families and improve our State Veterans' Cemeteries, to provide at-risk youth with opportunities to obtain their high school diplomas and become productive citizens.","national guard, civil defense, veteran, emergency management, disaster, emergency, homeland security, DOD, Hawaii Advisory Council on Emergency Management, Advisory Board on Veterans' Services, Hawaii National Guard Youth Challenge Academy",,,http://dod.hawaii.gov/,,Records of the Hawaii Department of Defense may be covered by both the federal FOIA and state UIPA.  FOIA requests will be processed by individuals on the mainland and different legal standards may apply.
Executive Office on Early Learning,gov.earlylearning@hawaii.gov,,Phone:  (808) 586-3811,state-of-hawaii,,"The mission of EOEL is to coordinate efforts to help ensure a solid foundation for Hawaii’s young children, prenatal to age five, by working with partners, families, and communities, and connecting policies, programs, and funding in relation to health, safety, early childhood education, and school readiness and success.","early learning, early childhood, Early Learning Advisory Board, EOEL",,Office of the Governor,http://earlylearning.hawaii.gov,,
Public Utilities Commission,hawaii.puc@hawaii.gov,"465 S. King St., Room 103
Honolulu, HI  96813","Phone:  (808) 586-2020
Fax:  (808) 586-2066",state-of-hawaii,,"The Public Utilities Commission (PUC) regulates all franchised or certificated public service companies operating in the State prescribes rates, tariffs, charges and fees; determines the allowable rate of earnings in establishing rates; issues guidelines concerning the general management of franchised or certificated utility businesses; and acts on requests for the acquisition, sale, disposition or other exchange of utility properties, including mergers and consolidations.","energy, telecommunications, transportation, water, wastewater, PUC",,Department of Commerce & Consumer Affairs,http://puc.hawaii.gov,,
Department of the Attorney General,hawaiiag@hawaii.gov,"425 Queen Street
Honolulu, HI 96813","Ph: 808 586-1500
Fax: 808 586-1239",state-of-hawaii,,"To provide excellent legal services to the State of Hawaii by offering advice and counsel to its client agencies, assisting in implementing policy decisions, and aiding the core activities of its client agencies. Carrying out this mission includes (1) appearing for the State in civil and criminal cases when the State is a party; (2) investigating violations of state laws, enforcing the laws, and prosecuting those who violate the law; (3) preparing legal opinions for the Governor, Legislature, and the heads of state departments; (4) advising state officials on legal matters so that they can faithfully execute their duties and responsibilities; and (5) defending and representing state officials and employees when they are sued for actions that have taken in connection with their state position.","child support, crime, criminal, Hawaii criminal justice data center, civil rights, child support enforcement agency, crime prvention and justice assistance, uniform legislation, investigation, legal, Commission to Promote Uniform Legislation, AG, lawyer, attorney, counsel, Attorney General",,,http://ag.hawaii.gov/,,
House of Representatives,hclerk@capitol.hawaii.gov,"House Clerk's Office State Capitol, Room 27
415 South Beretania Street
Honolulu, HI 96813","Ph: 808 586-6400 
Fax 808 586-6401 ",state-of-hawaii,,,"legislature,legislative,house,representative",,,http://www.capitol.hawaii.gov/house.aspx,,
Office of Aging,hcoa@hawaiiantel.net,"1055 Kinoole Street, Suite 101
Hilo, HI 96720-3872","Phone: (808) 961-8600
Fax: (808) 961-8603",county-of-hawaii,,"The Hawai‘i County Office of Aging, an Area Agency on Aging, is responsible for developing a comprehensive system of services for older persons in Hawaii County. Staff conduct needs assessments, write grants, administer contracts, develop training programs, manage a senior citizen database, and perform advocacy functions.","HCOA,aging,elder affairs,Committee on Aging,Committee for People with Disabilities,disabilities,disability",,,http://www.hcoahawaii.org/,,
Department of Agriculture,hdoa.info@hawaii.gov,"Office of the Chairperson
1428 S. King Street
Honolulu, HI 96814",Ph: 808 973-9560,state-of-hawaii,,"The Hawaii Department of Agriculture’s (HDOA) goals are to conserve and develop essential agricultural resources and infrastructure; to gain access and develop local, domestic, and international markets for Hawaii's agricultural products; to conserve and protect suitable agricultural lands and water; to raise awareness of the importance of agriculture to the State's economy, environment, and as a profession; to implement programs to safeguard Hawaii's farmers, consumers, and natural resources; and to prevent the introduction and establishment of plants, animals and disease that are detrimental to Hawaii's agriculture and environment.","animal, plant, quarantine, agriculture, pesticide, pest, invasive species, rabies, aquaculture, DOA, Board of Agriculture, Advisory Committee on Plants and Animals, Molokai Irrigation System Water Users Advisory Board",,,http://hdoa.hawaii.gov/,,
Agribusiness Development Corporation,hdoa.info@hawaii.gov,"235 S. Beretania St., Room 205
Honolulu, HI  96813","Phone:  (808) 586-0186
Fax:  (808) 586-0189",state-of-hawaii,,"The mission of the Agribusiness Development Corporation (ADC) is to acquire, and manage in partnership with farmers, ranchers, and aquaculture groups, selected high-value lands, water systems, and infrastructure for commercial agricultural use and to direct research into areas that will lead to the development of new crops, markets, and lower production costs.","agriculture, water, land, development",,Department of Agriculture,http://hdoa.hawaii.gov/chair/adc10/,,
Mass Transit Agency,heleonbus@hawaiicounty.gov,"1266 Kamehameha Avenue, Suite A-2
Hilo, HI 96720","Phone: (808) 961-8343
Fax: (808) 961-8745",county-of-hawaii,,"The County of Hawai‘i Mass Transit Agency is proud to provide Hele-On commuter and local fixed route and senior and persons with disabilities demand response bus service throughout the entire Island of Hawai‘i. You can count on Hele-On to provide fixed route transit services generally Monday through Saturday from 3:30 a.m. to 1:00 a.m., with limited service on Sundays and county observed holidays. Shared ride taxi service is available 24 hours a day, seven days a week, in the Hilo urbanized area on selected taxi providers. Demand response bus service is available Monday through Friday from 6:30 a.m. to 4:00 p.m., island-wide.","Hele-On,bus,transportation,transit,paratransit,Transportation Commission",,,http://heleonbus.org/,,
Department of Budget & Finance,HI.BudgetandFinance@hawaii.gov,"Department of Budget and Finance
P. O. Box 150
Honolulu, Hawaii 96810",Ph: 808 586-1518,state-of-hawaii,,"The Department of Budget and Finance, headed by the Director of Finance, administers the State budget, develops near- and long-term financial plans and strategies for the State, and provides programs for the improvement of management and financial management of State agencies.","accounting, budget, finance, audit, bonds, capital improvements, CIP, investment, unclaimed property, treasury, Hawaii Health Authority",,,http://budget.hawaii.gov/,,
Office of the Public Defender,HI.BudgetandFinance@hawaii.gov,"1130 N. Nimitz Hwy. Suite A-254
Honolulu, HI  96817","Phone:  (808) 586-2200
Fax:  (808) 586-2222",state-of-hawaii,,"The Office of the Public Defender was established pursuant to Section 802-B, Hawai`i Revised Statutes, implementing Federal and State constitutional mandates that any indigent person charged with a criminal offense or threatened with the loss of liberty shall be provided with the assistance of legal counsel.","crime, criminal, public defender, Defender Council",,Department of Budget & Finance,http://publicdefender.hawaii.gov,,
Department of Defense - State,hi.dod.pa@icloud.com,"3949 Diamond Head Road 
Honolulu, HI 96816","Ph: 808 733-4258
Fax: 808 733-4236",state-of-hawaii,,"To maintain readiness to respond to the needs of the people in the event of disasters, either natural or human-caused; to administer policies and programs related to veterans and their families and improve our State Veterans' Cemeteries, to provide at-risk youth with opportunities to obtain their high school diplomas and become productive citizens.","national guard, civil defense, veteran, emergency management, disaster, emergency, homeland security, DOD, Hawaii Advisory Council on Emergency Management, Advisory Board on Veterans' Services, Hawaii National Guard Youth Challenge Academy",,,http://dod.hawaii.gov/,,Records of the Hawaii Department of Defense may be covered by both the federal FOIA and state UIPA.  FOIA requests will be processed by individuals on the mainland and different legal standards may apply.
Employees' Retirement System,hiers04@hiers.org,"201 Merchant St., Suite 1400
Honolulu, HI  96813-2980","Phone:  (808) 586-1735
Fax:  (808) 587-5766",state-of-hawaii,,"The ERS administers benefits for service retirement, disability, and survivor benefits for employees of the State of Hawaii, the City and County of Honolulu, County of Hawaii, County of Maui and County of Kauai which includes teachers, professors, police officers, firefighters, judiciary employees, judges, and elected officials.  The ERS collects retirement contributions from members; provides pre-retirement counseling services; conducts disability hearings and appeals; reviews claims for retirement, disability, and death benefits and certifies these benefits for payments; processes monthly pension checks to retirees and beneficiaries; accounts for and safeguards assets in the ERS investment portfolio; and invests funds to help finance this program.","investment, ERS",,Department of Budget & Finance,http://ers.ehawaii.gov,,
Office of the Prosecuting Attorney,hilopros@co.hawaii.hi.us,"Aupuni Center, 655 Kilauea Avenue
Hilo, HI 96720","Phone: (808) 961-0466
Fax: (808) 961-8908",county-of-hawaii,,"The Office of the Prosecuting Attorney is the legal agency responsible for prosecuting all violations of State and County laws, ordinances, rules, and/or regulations on behalf of the Big Island community as provided by Hawai‘i County Charter Article IX: Chapter 28; H.R.S. 28-1.","crime,criminal,investigation,legal,lawyer,attorney,Committee on the Status of Women",,,http://www.hawaiicounty.gov/prosecuting-attorney/,,
Hawaii Public Housing Authority,hpha@hawaii.gov,"1002 N. School Street
Honolulu, HI  96817","Phone:  (808) 832-4692
Fax:  (808) 832-4679",state-of-hawaii,,"The Hawaii Public Housing Authority helps provide Hawai`i residents with affordable housing and shelter without discrimination. HPHA efforts focus on developing affordable rental and supportive housing, public housing and the efficient and fair delivery of housing services to the people of Hawai`i.","affordable housing,shelter,HPHA,section 8,housing",,Department of Human Services,http://hpha.hawaii.gov,,
Department of Human Resources,hrdir@hawaiicounty.gov,"Aupuni Center, 101 Pauahi Street, Suite 2
Hilo, HI 96720","Phone: (808) 961-8361
Fax:(808) 961-8617",county-of-hawaii,,"The Department of Human Resources is the central human resource agency for the County of Hawai`i whose functions include administering the civil service laws as they apply to the County. As the central human resource agency for the County, the department has responsibility for strategic planning, workforce planning and employment, equal opportunity, personnel development, compensation and benefits, employee and labor relations, and occupational health and safety.","employee claims,employee relations,classification,Civil Service,personnel,employee,benefits,labor relations,occupational safety,safety,workers' compensation,workforce,occupational health,Merit Appeals Board,Salary Commission",,,http://www.hawaiicounty.gov/human-resources/,,
High Technology Development Corporation,htdc@htdc.org,"2800 Woodlawn Drive, Suite 100
Honolulu, HI 96822","Phone:  (808) 539-3806
Fax:  (808) 539-3795",state-of-hawaii,,High Technology Development Corporation (HTDC) is a state agency established by the Hawaii State Legislature in 1983 to facilitate the development and growth of Hawaii's commercial high technology industry. ,"Manoa Innovation Center, Maui Research & Technology Center, Hawaii Center for Advanced Transportation Technologies, MIC, MRTC, HCATT, HTDC, technology, research, innovation, incubator",,"Department of Business, Economic Development & Tourism",http://www.htdc.org,,
Hawaii Tourism Authority,info@gohta.net,"1801 Kalakaua Avenue, 1st Floor
Honolulu, HI  96815","Phone:  (808) 973-2255
Fax:  (808) 973-2253",state-of-hawaii,,"Established in 1998, the Hawaii Tourism Authority (HTA) is the lead state agency for tourism. Among its responsibilities, the HTA’s is charged with: (1) Setting tourism policy and direction with the goal of contributing to the ongoing, sustainable growth of Hawaii’s economy (2) Developing and implementing the State’s tourism marketing plan and efforts (3) Managing programs and activities to sustain a healthy visitor industry (4) Developing and implementing the  Hawaii Tourism Strategic Plan (5) Coordinating tourism-related research, planning, promotional and outreach activities with the public and private sectors.","HTA, tourism",,"Department of Business, Economic Development & Tourism",http://www.hawaiitourismauthority.org,,
State of Hawaii Film Office,info@hawaiifilmoffice.com,"P.O. Box 2359
Honolulu, Hawaii 96804","Phone:  (808) 586-2570
Fax:  (808) 586-2572",state-of-hawaii,,"Established in 1978, the State of Hawaii Film Office is the one-stop central coordinator for film and photographic use of state-administered parks, beaches, highways, and facilities. The office works closely with state agencies to assist filmmakers with acquiring film permits, and if necessary, directs them to the appropriate county and federal agencies.","film industry, film, film commissioner",,"Department of Business, Economic Development & Tourism",http://filmoffice.hawaii.gov,,
Department of Planning & Permitting,info@honoluludpp.org,"650 So. King St.
Honolulu, HI 96813 ",Fax: (808) 768-6743,city-and-county-of-honolulu,,"The Department of Planning and Permitting (DPP) is responsible for the city’s long-range and community planning efforts. It administers and enforces various permits required for development, land use and codes pertaining to building construction, and city standards and regulations related to infrastructure requirements.","DPP,planning,permitting,building,development,land use,planning commission,zoning board of appeals,building board of appeals,design advisory committee,design,zoning,GIS,geographic information systems",,,http://www.honoluludpp.org,,
Office of Hawaiian Affairs,info@oha.org,"560 N. Nimitz Highway, Suite 200 
Honolulu, HI 96817","Ph: 808 594-1892
Fax: 808 594-0240",state-of-hawaii,,"OHA is focused on strategic priorities for improving the conditions of Native Hawaiians in the areas of ‘āina, culture, economic self sufficiency, education, governance, and health.","OHA, Native Hawaiian Roll Commission",,,http://www.oha.org/,,
Hawaii State Public Charter School Commission,info@spcsc.hawaii.gov,"1111 Bishop Street, Suite 516
Honolulu, HI  96813","Phone:  (808) 586-3775
Fax:  (808) 586-3776",state-of-hawaii,,"The State Public Charter School Commission is the State of Hawaii's statewide charter school authorizer.  The mission of the Commission is ""to authorize high-quality public charter schools throughout the State.""",charter school,,Department of Education,http://www.chartercommission.hawaii.gov,,
University of Hawaii Foundation,info@uhfoundation.org,"P.O. Box 11270
Honolulu, HI  96828-0270",Phone:  (808) 956-8849,state-of-hawaii,,"To unite donors' passions with the University of Hawaiʻi's aspirations by raising philanthropic support and managing private investments to benefit UH, the people of Hawaiʻi and our future generations.","fundraising, donations, UH
",,University of Hawaii,http://www.uhfoundation.org,,
Kauai Fire Department,kfd@kauai.gov,"Piʻikoi Building
4444 Rice Street
Suite 315
Lihue Hawaii, 96766 ","Phone: (808) 241-4980
Fax: (808) 241-6508",county-of-kauai,,"The mission of the Kauai Fire Department is to protect life, preserve property and enhance the environment of the County of Kaua'i from all hazards.","KFD,fire,emergency,hazardous ,safety,Fire Commission,ocean safety,ambulance,lifeguard,paramedic,beach,health",,,http://www.kauai.gov/Fire,,
Honolulu Liquor Commission,liquor@honolulu.gov,"711 Kapiolani Blvd., Suite 600
Honolulu, HI  96813","Phone:  (808) 768-7300
Fax:  (808) 768-7311",city-and-county-of-honolulu,,"The Honolulu Liquor Commission (LIQ) has sole jurisdiction, power, authority and discretion to grant, refuse, suspend and revoke any license for the manufacture, importation, or sale of liquor within the City and County of Honolulu.","LIQ,liquor,licensing,liquor commission",,Department of Budget & Fiscal Services,http://www.honolulu.gov/liq/default.html,,
"Department of Liquor Control
",liquor@kauai.gov,"Lihu'e Civic Center, Mo'ikeha Building
4444 Rice Street, Suite 120
Lihu'e, Kaua'i, Hawai'i 96766","Phone: (808) 241-4966
Fax: (808) 241-6585",county-of-kauai,,"The Department of Liquor Control provides the administrative services for the Liquor Control Commission. It investigates all applications for liquor licenses and provides data to enable the Commission to properly execute its duties. The Department has police powers to enforce the liquor laws, and inspects all liquor licensed premises to ensure compliance with the State liquor laws and the Commission’s rules and regulations. It investigates all alleged violations and complaints, and reports all violations to the Commission.","liquor, licensing",,,http://www.kauai.gov/Liquor,,
Department of Liquor Control,liquor@mauicounty.gov,"2145 Kaohu St.
Trask Building, Room 105
Wailuku, HI 96793","Phone: (808) 243-7753
Fax: (808) 243-7558",county-of-maui,,"The Department of Liquor Control is responsible for the regulation and control of the importation, manufacture, sale, and service of alcoholic beverages by providing services in liquor license and permit applications, licensees' education, site inspections, and enforcement of liquor laws and rules. ","liquor,licensing,Liquor Control Adjudication Board,Liquor Control Commission",,,http://www.co.maui.hi.us/667/Liquor-Control,,
Legislative Reference Bureau,lrb@capitol.hawaii.gov,"Charlotte Carter-Yamauchi, 
 Acting Director 
State Capitol, Rm 446 ","Ph: 808 587-0666 
Fax: 808 587-0681",state-of-hawaii,,"The Legislative Reference Bureau assists the Hawai`i State Legislature by providing impartial research,consultation, and document drafting services, maintaining a research library, statutes revision and publication, operating a computerized legislative information system, and providing resources to enhance public participation in the legislative process. ","LRB, research",,,http://lrbhawaii.org/,,"We are prohibited from revealing the contents of any request for services, except to the requester. This assures the confidentiality of every request a legislator sends to the Bureau.
see, §23G-4, HRS"
Land Use Commission,luc@dbedt.hawaii.gov,"P.O. Box 2359
Honolulu, Hawaii 96804","Phone:  (808) 587-3822
Fax:  (808) 587-3827",state-of-hawaii,,"To administer the Land Use Law the State Legislature established the Land Use Commission composed of nine members, who are appointed by the Governor and confirmed by the State Senate.","LUC, land use, planning",,"Department of Business, Economic Development & Tourism",http://luc.hawaii.gov,,
Office of the Mayor,mayor@honolulu.gov,"530 South King Street, Room 300
Honolulu, HI 96813","Phone: (808) 768-4141
Fax: (808) 768-5552",city-and-county-of-honolulu,,"Chief executive of the City and County of Honolulu, the mayor is responsible for the faithful execution of the provisions of the city charter and applicable ordinances and statutes.",mayor,,,http://www.honolulu.gov/mayor,,
Office of the Managing Director,mayor@honolulu.gov,"530 S. King Street, Rm. 306
Honolulu, HI 96813","Phone: (808) 768-6634
Fax: (808) 768-4242",city-and-county-of-honolulu,,"Principal management aide to the mayor, the managing director supervises and evaluates the management and performance of all line executive departments and agencies, and prescribes the standards of administrative practice to be followed.","managing director, mayor, MDO",,Office of the Mayor,,,
Office of Economic Development,mayor@honolulu.gov,"530 S. King Street, Rm. 306
 Honolulu, HI 96813","Phone: (808) 768-5764
Fax (808) 768-4242 ",city-and-county-of-honolulu,,"The Mayor’s Office of Economic Development (OED) is responsible for cultivating tourism and hospitality, agriculture, film, and other industries; advancing small businesses; strengthening relationships with state, military, federal, and international partners; and coordinating cultural and community festivals and special events.","OED,development,tourism,film,agriculture,Honolulu Film Office,small business,business,mayor",,Office of the Mayor,http://www.honolulu.gov/ecodev.html,,
Office of Housing,mayor@honolulu.gov,"715 South King Street, Room 311 
Honolulu, Hawaii 96813","Phone: (808) 768-7769 
Fax: (808) 768-7792",city-and-county-of-honolulu,,"The Mayor's Office of Housing administers programs for affordable housing, senior and special needs housing, and homelessness.","mayor,homeless,houseless,housing,affordable housing",,Office of the Mayor,http://www.honolulu.gov/housing/default.html,,
Royal Hawaiian Band,mayor@honolulu.gov,"2805 Monsarrat Avenue
Honolulu, Hawaii 96815","Phone: (808) 922-5331
Fax: (808) 924-2841",city-and-county-of-honolulu,,"The Royal Hawaiian band (RHB) performs at community and educational concerts, official ceremonies, cultural events, special programs, and parades. This historic organization is the only full-time municipal band in the United States, and the only band in the country established by a royal kingdom, founded by King Kamehameha III in 1836.","mayor, band, RHB",,Office of the Mayor,http://www.rhb-music.com,,
Office of the Mayor,mayor@kauai.gov,"4444 Rice Street, Suite 235
Lihue, HI  96766","Phone:  (808) 241-4900
Fax:  (808) 241-6877",county-of-kauai,,"The mission of the Office of the Mayor is to carry out the vision for Kaua'i by directing the management of all executive departments, offices and agencies. The Office of the Mayor also serves as a liaison between the County Council and administration and facilitates the County's State and Federal legislative agendas. We support all boards and commissions, respond to citizen concerns, and coordinate internal communications among departments and external communications with the general public and partnering government agencies. In addition, the Office of the Mayor manages the county's capital improvement program, Life’s Choices office, and monitors compliance with two federal laws, the Equal Employment Opportunity (EEO) and Americans with Disability Act (ADA).",mayor,,,http://www.kauai.gov/mayor,,
Office of the Mayor,Mayors.Office@mauicounty.gov,"200 S. High St.
Kalana O Maui Bldg 9th Fl.
Wailuku, HI  96793","Ph: (808) 270-7855
Fax: (808) 270-7870",county-of-maui,,"The Administration Program within the Office of the Mayor establishes and directs basic management guidelines for all executive departments of the County and serves as a liaison between the County Council and executive departments and agencies. The program staff prepares and oversees the County’s operating and capital improvement program budgets, provides support services to County boards and commissions, responds to citizen concerns, organizes the County’s legislative agenda, and coordinates internal County communications and the dissemination of information to the public.","mayor,boards,commissions,environmental,environmental coordinator,Committee on the Status of Women,Salary Commission,Workforce Development Board,environment",,,http://co.maui.hi.us/65/Office-of-the-Mayor,,
Department of Management,MD.Office@mauicounty.gov,"200 S. High St
Kalana O Maui Bldg, 9th Fl
Wailuku, HI 96793","Phone: (808) 270-7855
Fax: (808) 270-7870",county-of-maui,,"The Managing Director serves as the principal management aide to the Mayor. This includes the following duties and responsibilities: 1. Supervises and evaluates the management and performance of all line executive departments and agencies and 2. Assists the Mayor by supervising and coordinating the County’s annual operating budget and capital improvement program (CIP) budget preparation, submittal and systemic reviews of each department and agency in achieving the most effective expenditure of public funds.","information technology,IT,computer,technology,GIS,geographic information systems,CIP,capital improvements,mayor,managing director,energy,sustainability,Affirmative Action Advisory Council",,,http://www.co.maui.hi.us/118/Department-of-Management,,
Mayor's Office of Culture and the Arts,moca-info@honolulu.gov,"550 South King Street, 2nd Floor 
Honolulu, Hawaii 96813","Phone: (808) 768-6622
Fax: (808) 768-4215",city-and-county-of-honolulu,,"The mission of MOCA is to promote the value of arts and culture throughout communities in the City and County of Honolulu. MOCA's objectives are to attain per-eminence in culture and the arts; to perpetuate the artistic and cultural heritages of its entire people; to promote a community environment, which provides equal and abundant opportunity for exposure to culture and the arts in all its forms; and to encourage and provide equal opportunity for the development of culture and the artistic talents of the people of Honolulu.","culture, arts, mayor, MOCA",,Office of the Mayor,http://www.honolulu.gov/moca/default.html,,
Neighborhood Commission Office,nco@honolulu.gov,"530 South King Street, Room 406
Honolulu, Hawaii 96813","Phone: (808) 768-3710 
Fax: (808) 768-3711",city-and-county-of-honolulu,,"Founded in 1973, the mission of the Neighborhood Commission is to increase and assure effective citizen participation in the decisions of government through the establishment of policy, providing oversight and evaluation, as well as facilitating the efficient organization and operation of the Neighborhood Board System.","mayor,NCO,neighborhood board,neighborhood",,Office of the Mayor,http://www.honolulu.gov/nco/default.html,,
